OBJECTID,COUNTY,CNTYCODE,LAND,ISLAND,TAG,GlobalID,created_user,created_date,last_edited_user,last_edited_date,ShapeSTArea,ShapeSTLength
4355,Piscataquis,21,y,y,n,{B0B8AFA1-E6AA-4D83-A385-C22006929B4D},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,1397.68813124,158.468089505057
4356,Piscataquis,21,y,y,n,{F255E3B3-D31A-4114-8A78-4D12539C5CED},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,126.022789055,43.0180864188195
4357,Piscataquis,21,y,y,n,{03B13137-F759-4AE1-8785-81FAE61E38A3},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,190.73484375,51.3600206255454
4358,Piscataquis,21,y,y,n,{69DCA57A-0198-48DE-A20E-5EBF7F9D7806},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,112.749893745,41.1990211702655
4359,Piscataquis,21,y,y,n,{89A8C899-7638-402E-861D-C6A1CCB23E61},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,1671.97919378,177.699622473103
4360,Piscataquis,21,y,y,n,{A7DB06E2-C563-43B4-9760-CC783DC1C8FA},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,1355.433165645,161.836532865969
4361,Piscataquis,21,y,y,n,{88805737-96A4-435B-B10B-021BA09C7578},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,1863.58459372,194.520904335544
4362,Piscataquis,21,y,y,n,{508A03A8-83B6-4C62-A120-F025F9BC2123},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,251.46201874,62.7248476825249
4363,Piscataquis,21,y,y,n,{8E52BDF6-EED9-4F18-A53C-40AEB752A52C},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,67.234149995,32.3873763596731
4364,Piscataquis,21,y,y,n,{83975AA3-85E0-4A6C-8942-251AC3A48D49},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,203.205470335,60.2441455855669
4365,Piscataquis,21,y,y,n,{ACAB2670-2B7C-4755-9EA6-B1346F6802C0},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,5160.242162525,300.77075701742
4366,Piscataquis,21,y,y,n,{4722DC81-F6E7-4A03-BD9B-CCE3029A3009},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,191.58257033,56.6995385372258
4367,Piscataquis,21,y,y,n,{3ECECAEA-C83D-4BA0-804B-15457122D62D},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,437.006826565,96.9183975406482
4368,Piscataquis,21,y,y,n,{96F80419-09F2-4FC7-9430-CE05EEA9E448},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,3048.513529685,213.606737053244
4369,Piscataquis,21,y,y,n,{A269D95B-7685-4B35-B58C-B461508FB85C},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,1323.4025751,225.070103780438
4370,Piscataquis,21,y,y,n,{2B2046B1-D289-4A14-BF36-980011A4405F},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,721.929371835,98.0059926654058
4371,Piscataquis,21,y,y,n,{B45A40FD-80B7-4213-B28E-7654C780C42B},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,4341.061556265,335.940375852625
4372,Piscataquis,21,y,y,n,{C82A4F34-DD8D-476D-942E-B2586AA708EE},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,502.422632795,98.5524725812036
4373,Piscataquis,21,y,y,n,{6D55A434-0B1F-43B4-A28F-99D45C9C1ADE},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,12801.033965635,779.867047441926
4374,Piscataquis,21,y,y,n,{123BAEBE-2A18-4661-8E0E-389558EB05F1},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,143.7660047,50.0476977411841
4375,Piscataquis,21,y,y,n,{EC9DFFB5-50DB-4A98-88D2-F8458BE69490},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,5859.03708437,375.150901307399
4376,Piscataquis,21,y,y,n,{5E69C251-300D-450C-A060-8E622FE1F84B},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,950.011728155,139.972554559852
4377,Piscataquis,21,y,y,n,{D597A6EF-A66C-4A08-8746-77D6EC6C4458},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,229.449814045,58.9081366408313
4378,Piscataquis,21,y,y,n,{295B1B27-D899-45E3-BB0E-2A5DE127DFA4},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,60.726517165,28.8829565273455
4379,Piscataquis,21,y,y,n,{E08D01C1-9B4B-4881-A63D-C3A4E6A12E98},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,48.162009385,28.5218961797987
4380,Piscataquis,21,y,y,n,{48576256-24BA-4B7A-8B5D-04119338BC96},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,1462.752607805,155.922633276253
4381,Piscataquis,21,y,y,n,{30F4D71D-ADB3-42EC-B89F-B759E656CD09},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,494.27502195,98.0161783312812
4382,Piscataquis,21,y,y,n,{597D34D2-6477-420F-B96D-959B653B7E7A},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,254.94245159,61.8215636275142
4383,Piscataquis,21,y,y,n,{E39320AC-F384-4570-9219-7CF646079616},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,1218.43038281,146.611137331139
4384,Piscataquis,21,y,y,n,{2DA0B061-0300-4CD3-9B0C-F6D496E38326},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,1297.10567031,140.313599847694
4385,Piscataquis,21,y,y,n,{D5DCFB9D-5E59-40B0-BB52-00D27C35BC7B},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,477.849962475,93.6251130878453
4386,Piscataquis,21,y,y,n,{DC9AB7DC-8385-4A07-9F90-9273F556BBC0},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,1044.810257865,123.354667352458
4387,Piscataquis,21,y,y,n,{5CC610CF-693E-4F37-AB51-F9C91DB8D431},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,226.73272964,61.6802011662807
4388,Piscataquis,21,y,y,n,{08E4894D-5E70-4206-8F4B-521851716D66},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,276.273128125,65.7813118221138
4389,Piscataquis,21,y,y,n,{1EBD0751-EE79-495C-B121-518C1B1FA646},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,221.842376555,54.6918798303226
4390,Piscataquis,21,y,y,n,{1BB7A8C0-2C8E-4872-8735-A687CC7A52D7},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,879.567412505,111.780853671707
4391,Piscataquis,21,y,y,n,{326BFB50-D369-45AE-9B7F-C6D338D93A34},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,252.462835945,63.1346822547984
